Date,Open,High,Low,Close,Volume
2025-08-01,0.0,0.0,0.9567307692307693,0.16666666666666607,1000.0
2025-08-02,0.22222222222222143,,0.966346153846154,0.08333333333333215,1500.0
2025-08-03,0.11111111111111072,0.10000000000000142,0.0,0.25,2750.0
2025-08-04,0.44444444444444464,0.3000000000000007,0.9759615384615385,0.4166666666666661,2000.0
2025-08-05,,0.40000000000000036,0.9903846153846154,0.5,2500.0
2025-08-06,0.7777777777777768,0.5,0.9855769230769231,0.33333333333333215,3000.0
2025-08-07,0.5555555555555554,0.20000000000000107,0.9807692307692308,0.0,2750.0
2025-08-08,0.6666666666666661,0.6000000000000014,0.9855769230769231,0.6666666666666661,4000.0
2025-08-09,0.8888888888888893,0.7000000000000011,0.9951923076923077,0.75,4500.0
2025-08-10,1.0,1.0,1.0,1.0,5000.0
